customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
1.0,male,60+,north,automobile,online,flipkart,1.0,very disappointed with the quality.,negative,46.0,yes,yes
2.0,other,46-60,central,books,online,swiggy instamart,5.0,fffaaasttt dddeeliiivvveery aanndd greeaaat pacckkaaagiinngg.,positive,5.0,yes,no
3.0,female,36-45,east,sports,,,1.0,very disappointed with the quality.,negative,,yes,
4.0,female,18-25,central,groceries,online,zepto,,product stopped working after fewd ays.,negative,16.0,yes,yes
5.0,female,18-25,east,electronics,online,croma,3.0,neutral about the quality.,neutral,15.0,yes,no
6.0,,26-35,central,sports,online,facebook marketplace,5.0,amazing highly recommend!,positive,10.0,yes,no
7.0,male,36-45,south,travel,online,amazon,4.0,great value for money.,positive,190.0,yes,no
8.0,other,60+,east,fashion,,,,excellent product! exceeded expectations.,,53.0,no,no
9.0,male,18-25,south,home & kitchen,online,shopclues,3.0,"product is okay, nothing special.",neutral,7.0,yes,no
10.0,male,36-45,east,beauty,online,croma,5.0,great value for,positive,56.0,no,no
,female,26-35,south,beauty,online,zepto,2.0,not worth the price.,negative,69.0,no,yes
12.0,other,18-25,east,groceries,online,swiggy instamart,1.0,vvverryy ddissaapppoinntedd wwiiithhh thheee qqquaaalllity.,negative,70.0,no,yes
13.0,other,,central,fashion,online,facebook marketplace,5.0,,positive,48.0,no,no
,other,46-60,north,beauty,online,tata cliq,4.0,"amazing experience, highly",positive,55.0,no,no
15.0,other,60+,west,beauty,online,snapdeal,1.0,customer service was unhelpful.,negative,4.0,yes,yes
,other,36-45,central,fashion,online,paytm mall,2.0,product stopped working after few days.,negative,56.0,no,yes
17.0,female,26-35,north,sports,online,tata cliq,1.0,late delivery and poor packaging.,negative,44.0,yes,yes
18.0,male,60+,west,books,online,ajio,3.0,,neutral,32.0,yes,no
19.0,other,26-35,east,,online,myntra,4.0,..... excellent product! exceeded expectations.,positive,61.0,no,no
,female,46-60,west,electronics,online,facebook marketplace,1.0,late delivery and poor packaging.,negative,11.0,yes,yes
21.0,female,60+,south,sports,online,nykaa,5.0,"amazing experience, highly recommend!",positive,51.0,no,no
22.0,female,18-25,south,,online,reliance digital,5.0,excellent product! expectations.,positive,31.0,yes,no
23.0,male,60+,south,electronics,online,zepto,4.0,"aammmazing exxpperrriiieeennncce, hhighhhlly rreeecccooommmeenddd!",,59.0,no,no
24.0,other,26-35,north,travel,online,meesho,2.0,custmoer service was unhelpful.,negative,8.0,yes,yes
25.0,other,36-45,east,beauty,online,nykaa,2.0,very disappointe dwith the quality.,negative,,yes,
